epoch,loss,lr,val_loss
0,0.8063404815166072,0.001,0.5202027559280396
1,0.4454196330099854,0.001,0.3617341220378876
2,0.3538343856557472,0.001,0.3020389974117279
3,0.30702820186932267,0.001,0.2703445553779602
4,0.27810047956079936,0.001,0.25018370151519775
5,0.25988311501954225,0.001,0.23804517090320587
6,0.2467765528683864,0.001,0.2259489893913269
7,0.23576055073966373,0.001,0.2186804711818695
8,0.22893531778887133,0.001,0.21023482084274292
9,0.21992750023945998,0.001,0.20370608568191528
10,0.21293786600450648,0.001,0.19949549436569214
11,0.2083824941525675,0.001,0.19411255419254303
12,0.20287211144523842,0.001,0.18950650095939636
13,0.19947612943533422,0.001,0.18706642091274261
14,0.19507309493007494,0.001,0.1838882714509964
15,0.19163506698310773,0.001,0.1796436756849289
16,0.1883007909435747,0.001,0.17718032002449036
17,0.18542941804257845,0.001,0.17384891211986542
18,0.18202946799305075,0.001,0.17166325449943542
19,0.1800759260603304,0.001,0.16914136707782745
20,0.17837761986358225,0.001,0.16847050189971924
21,0.17619354397856732,0.001,0.1695607304573059
22,0.1754312573519783,0.001,0.16382479667663574
23,0.17206970530666738,0.001,0.16201092302799225
24,0.17101767565818024,0.001,0.1607825756072998
25,0.1687012054301539,0.001,0.15916220843791962
26,0.1675805775447551,0.001,0.1575709879398346
27,0.16636822058343698,0.001,0.15654690563678741
28,0.16647830457777532,0.001,0.1617291420698166
29,0.16617369800787984,0.001,0.15626157820224762
30,0.1635365331336204,0.001,0.15536978840827942
31,0.16178906984277788,0.001,0.1531257927417755
32,0.1614053315187191,0.001,0.15316608548164368
33,0.15982533151193787,0.001,0.15203343331813812
34,0.16032079424753778,0.001,0.15147081017494202
35,0.15858641402632695,0.001,0.15087324380874634
36,0.15899744467140906,0.001,0.15174704790115356
37,0.15811107464341478,0.001,0.14983423054218292
38,0.15637775816934468,0.001,0.14947834610939026
39,0.1562834434936356,0.001,0.14945001900196075
40,0.15565122920604868,0.001,0.14869387447834015
41,0.1548617034825451,0.001,0.1471669226884842
42,0.15466276544604846,0.001,0.1478644609451294
43,0.15447701013329507,0.001,0.14846265316009521
44,0.15361285686976922,0.001,0.14527441561222076
45,0.15292883473928734,0.001,0.1461886167526245
46,0.15311644804859115,0.001,0.14623109996318817
47,0.1538234203024469,0.001,0.1455598771572113
48,0.15250958486941782,0.001,0.1460181474685669
49,0.14977278593539786,0.0005,0.14198990166187286
50,0.14823732462171757,0.0005,0.1417098343372345
51,0.14773390576227147,0.0005,0.14127489924430847
52,0.1473504746882009,0.0005,0.14087381958961487
53,0.1470960461956821,0.0005,0.1404896378517151
54,0.146839994009358,0.0005,0.14017386734485626
55,0.14659250269996918,0.0005,0.13991360366344452
56,0.14636433024490808,0.0005,0.13963435590267181
57,0.14619507758621159,0.0005,0.1397034376859665
58,0.14595546235952678,0.0005,0.13925699889659882
59,0.1458187397917521,0.0005,0.1393643021583557
60,0.14557451838515711,0.0005,0.13889175653457642
61,0.14535593022658397,0.0005,0.13899827003479004
62,0.14523649949288314,0.0005,0.13864125311374664
63,0.14501602551659992,0.0005,0.13842272758483887
64,0.1451353157827918,0.0005,0.13852962851524353
65,0.14482707600061306,0.0005,0.13828958570957184
